title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
"La La Land / Summit Entertainment ; in association with Black Label Media ; in association with TIK Films (Hong Kong) Limited ; an Imposter Pictures/Gilbert Films production ; a Marc Platt production ; written and directed by Damien Chazelle ; produced by Fred Berger, Jordan Horowitz, Gary Gilbert, Marc Platt.",,"Pianists Drama, Actresses Drama, Man woman relationships Drama, Hollywood Los Angeles Calif Drama, Feature films, Musical films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Summit Entertainment,2017,5,2017,430,VIDEODISC,Physical,Horizon
"La La Land / Summit Entertainment ; in association with Black Label Media ; in association with TIK Films (Hong Kong) Limited ; an Imposter Pictures/Gilbert Films production ; a Marc Platt production ; written and directed by Damien Chazelle ; produced by Fred Berger, Jordan Horowitz, Gary Gilbert, Marc Platt.",,"Pianists Drama, Actresses Drama, Man woman relationships Drama, Hollywood Los Angeles Calif Drama, Feature films, Musical films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Summit Entertainment,2017,6,2017,430,VIDEODISC,Physical,Horizon
Wonder / R.J. Palacio.,"Palacio, R. J.","Abnormalities Human Juvenile fiction, Self acceptance Juvenile fiction, Middle schools Juvenile fiction, Schools Juvenile fiction",Alfred A. Knopf,2012,3,2018,430,BOOK,Physical,Horizon
I'll be gone in the dark : one woman's obsessive search for the Golden State Killer / Michelle McNamara ; with an introduction by Gillian Flynn ; and an afterword by Patton Oswalt.,"McNamara, Michelle","Serial rape investigation California Case studies, Serial murder investigation California Case studies, Serial murders California Case studies, Cold cases Criminal investigation California Case studies, Case studies, True crime stories",Harper,2018,6,2018,430,BOOK,Physical,Horizon
"Flight [videorecording] / Paramount Pictures ; directed by Robert Zemeckis ; written by John Gatins ; produced by Walter F. Parkes, Laurie MacDonald, Steve Starkey, Robert Zemeckis, Jack Rapke ; an ImageMovers production ; a Parkes + MacDonald Image Nation production.",,"Air pilots Drama, Aircraft accidents Investigation Drama, Feature films, Thrillers Motion pictures, Video recordings for people with visual disabilities, Video recordings for the hearing impaired, Fiction films",Paramount Pictures,2013,5,2013,429,VIDEODISC,Physical,Horizon
"The curious case of Benjamin Button [videorecording] / Paramount Pictures and Warner Bros. Pictures present a Kennedy/Marshall production, a David Fincher film ; produced by Kathleen Kennedy, Frank Marshall, Ce n Chaffin ; screen story by Eric Roth and Robin Swicord ; screenplay by Eric Roth ; directed by David Fincher.",,"Aging Drama, Man woman relationships Drama, Adoptive parents Drama, Diaries Drama, Fantasy films, Video recordings for the hearing impaired, Feature films, Fiction films",Paramount Pictures,2009,11,2009,429,VIDEODISC,Physical,Horizon
"Forgetting Sarah Marshall [videorecording] / Universal ; an Apatow production ; produced by Judd Apatow, Shauna Robertson ; written by Jason Segel ; directed by Nicholas Stoller.",,"Separated people Drama, Rejection Psychology Drama, Separation Psychology Drama, Hawaii Drama, Romantic comedy films, Video recordings for the hearing impaired, Fiction films, Feature films, Comedy films",Universal Studios,2008,5,2009,429,VIDEODISC,Physical,Horizon
"The Darjeeling Limited [videorecording] / American Empirical Pictures ; Cine Mosaic ; Indian Paintbrush ; Scott Rudin Productions ; produced by Wes Anderson, Roman Coppola, Lydia Dean Pilcher, Scott Rudin ; written by Wes Anderson & Roman Coppola & Jason Schwartzman ; directed by Wes Anderson.",,"Brothers Drama, Voyages and travels Drama, India Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,10,2008,429,VIDEODISC,Physical,Horizon
Today will be different : a novel / Maria Semple.,"Semple, Maria","Mothers and sons Fiction, Animators Fiction, Family secrets Fiction, Seattle Wash Fiction, Humorous fiction, Domestic fiction","Little, Brown and Company",2016,1,2017,429,BOOK,Physical,Horizon
Down the river unto the sea / Walter Mosley.,"Mosley, Walter","Private investigators Fiction, Judicial error Fiction, Detective and mystery fiction, Thrillers Fiction","Mullholland Books, Little, Brown and Company",2018,5,2018,429,BOOK,Physical,Horizon
"Boyhood [videorecording] / IFC Films ; IFC Productions ; a Detour FilmProduction ; producers, Jonathan Sehring, John Sloss, Richard Linklater, Cathleen Sutherland ; written and directed by Richard Linklater.",,"Boys Drama, Teenage boys Drama, Mothers and sons Drama, Feature films, Coming of age films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Paramount Pictures,2015,5,2015,428,VIDEODISC,Physical,Horizon
"The theory of everything [videorecording] / Focus Features ; Working Title ; directed by James Marsh ; screenplay by Anthony McCarten ; produced by Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten.",,"Hawking Stephen 1942 Drama, Hawking Jane Drama, Astrophysicists Drama, Amyotrophic lateral sclerosis Drama, Biographical films, Historical films, Feature films, Fiction films, Video recordings for the hearing impaired",Universal Studios,2015,5,2015,428,VIDEODISC,Physical,Horizon
"Gone girl [videorecording] / Twentieth Century Fox ; Regency ; produced by Arnon Milchan, Reese Witherspoon, Ce n Chaffin, Joshua Donen ; screenplay by Gillian Flynn ; directed by David Fincher.",,"Missing persons Drama, Murder Drama, Husbands Drama, Married people Drama, Wives Drama, Feature films, Thrillers Motion pictures, Detective and mystery films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",20th Century Fox,2015,2,2015,428,VIDEODISC,Physical,Horizon
"Atonement [videorecording] / Focus Features presents in association with Studiocanal and Relativity Media a Working Title production ; produced by Tim Bevan, Eric Fellner, Paul Webster ; screenplay by Christopher Hampton ; directed by Joe Wright.",,"Atonement Drama, Sisters England Drama, False testimony England Drama, Man woman relationships England Drama, England Drama, Feature films, Video recordings for the hearing impaired, War films",Universal Studios,2008,1,2009,428,VIDEODISC,Physical,Horizon
"The Darjeeling Limited [videorecording] / American Empirical Pictures ; Cine Mosaic ; Indian Paintbrush ; Scott Rudin Productions ; produced by Wes Anderson, Roman Coppola, Lydia Dean Pilcher, Scott Rudin ; written by Wes Anderson & Roman Coppola & Jason Schwartzman ; directed by Wes Anderson.",,"Brothers Drama, Voyages and travels Drama, India Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,8,2008,428,VIDEODISC,Physical,Horizon
The Economist,,,,,10,2016,428,MAGAZINE,Digital,Zinio
"Into the wild [videorecording] / Paramount Vantage ; River Road Entertainment ; a Square One C.I.H./Linson Film production ; produced by Sean Penn, Art Linson, Bill Pohlad ; screenplay and directed by Sean Penn.",,"McCandless Christopher Johnson 1968 1992 Drama, Adventure and adventurers Drama, College graduates Drama, Risk taking Psychology Drama, Feature films, Biographical films, Video recordings for the hearing impaired, Action and adventure films",Paramount Pictures,2008,3,2010,427,VIDEODISC,Physical,Horizon
A wrinkle in time / Madeleine L'Engle.,"L'Engle, Madeleine",Science fiction Juvenile fiction,"Farrar, Straus and Giroux",2007,4,2018,427,BOOK,Physical,Horizon
The house of broken angels : a novel / Luis Alberto Urrea.,"Urrea, Luis Alberto","Mexican American families Fiction, Domestic fiction","Little, Brown and Company",2018,6,2018,427,BOOK,Physical,Horizon
"Slumdog millionaire [videorecording] / Fox Searchlight Pictures ; Warner Bros. Pictures ; Celador Films ; Film4 ; produced by Christian Colson ; screenplay by Simon Beaufoy ; co-director (India), Loveleen Tandan ; directed by Danny Boyle.",,"Orphans Drama, Television quiz shows Drama, Suspicion Drama, Police India Drama, Brothers India Drama, Bombay India Drama, Video recordings for the hearing impaired, Feature films, Fiction films",20th Century Fox,2009,5,2010,426,VIDEODISC,Physical,Horizon
"Burn after reading [videorecording] / Focus Features ; Working Title ; in association with StudioCanal and Relativity Media ; produced, written and directed by Joel Coen and Ethan Coen.",,"United States Central Intelligence Agency Drama, Adultery Drama, Extortion Drama, Fiction films, Gangster films, Video recordings for the hearing impaired, Feature films, Comedy films",Universal Studios,2008,5,2010,426,VIDEODISC,Physical,Horizon
"Gone baby gone [videorecording] / Miramax Films ; a Ladd Company production ; produced by Alan Ladd, Jr., Dan Rissner, Sean Bailey ; screenplay by Ben Affleck & Aaron Stockard ; directed by Ben Affleck.",,"Kidnapping Drama, Private investigators Drama, Criminal behavior Drama, Boston Mass Drama, Feature films, Video recordings for the hearing impaired, Thrillers Motion pictures",Miramax Home Entertainment,2008,3,2009,426,VIDEODISC,Physical,Horizon
"The Bourne ultimatum [videorecording] / Universal Pictures ; a Kennedy/Marshall production in association with Ludlum Entertainment ; produced by Patrick Crowley, Frank Marshall, Paul Sandberg ; screen story by Tony Gilroy ; screenplay by Tony Gilroy and Scott Z. Burns and George Nolfi ; directed by Paul Greengrass.",,"Bourne Jason Fictitious character Drama, Secrecy Drama, Memory disorders Drama, Reporters and reporting Drama, Feature films, Video recordings for the hearing impaired, Action and adventure films, Detective and mystery films, Thrillers Motion pictures",Universal Studios,2007,7,2008,426,VIDEODISC,Physical,Horizon
The monk of Mokha / Dave Eggers.,"Eggers, Dave","Alkhanshali Mokhtar, Alkhanshali Mokhtar Travel Yemen Republic, Coffee industry California San Francisco, Businesspeople California San Francisco Biography, Yemeni Americans California San Francisco Biography, Coffee industry Yemen Republic",Alfred A. Knopf,2018,2,2018,426,BOOK,Physical,Horizon
So you want to talk about race / Ijeoma Oluo.,"Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States",Seal Press,2018,7,2018,426,BOOK,Physical,Horizon
"How to change your mind : what the new science of psychedelics teaches us about consciousness, dying, addiction, depression, and transcendence / Michael Pollan.","Pollan, Michael","Pollan Michael 1955 Mental health, Hallucinogenic drugs Therapeutic use, Psychotherapy patients Biography",Penguin Press,2018,10,2018,426,BOOK,Physical,Horizon
"12 years a slave [videorecording] / Fox Searchlight Pictures ; Regency ; River Road Entertainment ; Plan B ; New Regency ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas ; screenplay by John Ridley ; directed by Steve McQueen.",,"Northup Solomon 1808 1863 Drama, Slaves Drama, African Americans Drama, Plantation life Drama, Slavery Drama, Louisiana Drama, Feature films, Historical films, Biographical films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",20th Century Fox,2014,7,2014,425,VIDEODISC,Physical,Horizon
"Burn after reading [videorecording] / Focus Features ; Working Title ; in association with StudioCanal and Relativity Media ; produced, written and directed by Joel Coen and Ethan Coen.",,"United States Central Intelligence Agency Drama, Adultery Drama, Extortion Drama, Fiction films, Gangster films, Video recordings for the hearing impaired, Feature films, Comedy films",Universal Studios,2008,6,2010,425,VIDEODISC,Physical,Horizon
"Gran Torino [videorecording] / Warner Bros. Pictures ; Village Roadshow Pictures ; a Double Nickel entertainment ; a Malpaso Production ; produced by Robert Lorenz, Bill Gerber ; story by David Johannson & Nick Schenk ; screenplay by Nick Schenk ; directed and produced by Clint Eastwood.",,"Widowers Drama, Ford Torino automobile Drama, Renault Torino automobile Drama, Hmong American teenage boys Michigan Drama, Gangs Drama, Hmong American families Michigan Drama, Families Drama, Feature films, Fiction films, Video recordings for the hearing impaired",Warner Bros.,2009,3,2010,425,VIDEODISC,Physical,Horizon
"The curious case of Benjamin Button [videorecording] / Paramount Pictures and Warner Bros. Pictures present a Kennedy/Marshall production, a David Fincher film ; produced by Kathleen Kennedy, Frank Marshall, Ce n Chaffin ; screen story by Eric Roth and Robin Swicord ; screenplay by Eric Roth ; directed by David Fincher.",,"Aging Drama, Man woman relationships Drama, Adoptive parents Drama, Diaries Drama, Fantasy films, Video recordings for the hearing impaired, Feature films, Fiction films",Paramount Pictures,2009,10,2009,425,VIDEODISC,Physical,Horizon
Indiana Jones and the kingdom of the crystal skull [videorecording] / Paramount Pictures ; Lucasfilm ; produced by Frank Marshall ; story by George Lucas and Jeff Nathanson ; screenplay by David Koepp ; directed by Steven Spielberg.,,"Jones Indiana Fictitious character Drama, Adventure and adventurers Drama, Crystals Drama, Video recordings for the hearing impaired, Feature films, Fiction films, Action and adventure films",Paramount Pictures,2008,11,2008,425,VIDEODISC,Physical,Horizon
Manhattan Beach : a novel / Jennifer Egan.,"Egan, Jennifer","Young women New York State New York Fiction, World War 1939 1945 United States Fiction, Domestic fiction, Historical fiction",Scribner,2017,10,2017,425,BOOK,Physical,Horizon
Fresh complaint : stories / Jeffrey Eugenides.,"Eugenides, Jeffrey",Short stories,"Farrar, Straus and Giroux",2017,11,2017,425,BOOK,Physical,Horizon
The ninth hour / Alice McDermott.,"McDermott, Alice","Widows New York State New York Fiction, Nuns New York State New York Fiction, Domestic fiction, Historical fiction","Farrar, Straus and Giroux",2017,3,2018,425,BOOK,Physical,Horizon
The whole30 fast & easy : 150 simply delicious everday recipes for your Whole30 / Melissa Hartwig ; photography by Ghazalle Badiozamani.,"Hartwig, Melissa","Diet therapy Popular works, Nutrition Popular works, Food habits Popular works, Self care Health Popular works, Weight loss Popular works, Reducing diets Recipes, Cookbooks",Houghton Mifflin Harcourt,2017,4,2018,425,BOOK,Physical,Horizon
The hate u give / Angie Thomas.,"Thomas, Angie","Witnesses Juvenile fiction, African Americans Juvenile fiction, Race relations Juvenile fiction, Police shootings Juvenile fiction, Police community relations Juvenile fiction, Young adult fiction",Balzer and Bray,2017,6,2018,425,BOOK,Physical,Horizon
"How to change your mind : what the new science of psychedelics teaches us about consciousness, dying, addiction, depression, and transcendence / Michael Pollan.","Pollan, Michael","Pollan Michael 1955 Mental health, Hallucinogenic drugs Therapeutic use, Psychotherapy patients Biography",Penguin Press,2018,9,2018,425,BOOK,Physical,Horizon
Unsheltered : a novel / Barbara Kingsolver.,"Kingsolver, Barbara","Vineland N J Fiction, Courage Fiction, Religious fiction, Social change Fiction, Families Fiction, Domestic fiction, Historical fiction",Harper,2018,10,2018,425,BOOK,Physical,Horizon
"Star trek [videorecording] / Paramount ; Spyglass Entertainment ; Bad Robot ; produced by J.J. Abrams, Damon Lindelof ; written by Roberto Orci & Alex Kurtzman ; directed by J.J. Abrams.",,"Kirk James T 2233 2371 Drama, Spock Mr Drama, Space ships Drama, Manned space flight Drama, Human alien encounters Drama, Friendship Drama, Video recordings for the hearing impaired, Feature films, Fiction films, Science fiction films, Fantasy films, Action and adventure films",Paramount Pictures,2009,5,2010,424,VIDEODISC,Physical,Horizon
"Duplicity [videorecording] / Universal Pictures, Relativity Media ; produced by Jennifer Fox, Kerry Orent, Laura Bickford ; written and directed by Tony Gilroy.",,"Agents provocateurs Drama, New products Drama, Competition Drama, Patents Drama, Man woman relationships Drama, Spy films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2009,4,2010,424,VIDEODISC,Physical,Horizon
"Rachel getting married [videorecording] / Sony Pictures Classics ; a Clinica Estetico production in association with Marc Platt Productions ; directed by Jonathan Demme ; produced by Neda Armian, Jonathan Demme, Marc Platt ; written by Jenny Lumet.",,"Drug abuse Treatment Drama, Weddings Drama, Dysfunctional families Drama, Sisters Drama, Video recordings for the hearing impaired, Feature films, Fiction films",Sony Pictures Home Entertainment,2009,7,2009,424,VIDEODISC,Physical,Horizon
"Mamma mia! [videorecording] / Universal Pictures ; a Playtone/Littlestar production ; produced by Judy Craymer, Gary Goetzman ; screenplay by Catherine Johnson ; directed by Phyllida Lloyd.",,"Mothers and daughters Drama, Fathers and daughters Drama, Weddings Drama, Man woman relationships Drama, Greece Drama, Musical films, Romantic comedy films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2008,6,2009,424,VIDEODISC,Physical,Horizon
"Into the wild [videorecording] / Paramount Vantage ; River Road Entertainment ; a Square One C.I.H./Linson Film production ; produced by Sean Penn, Art Linson, Bill Pohlad ; screenplay and directed by Sean Penn.",,"McCandless Christopher Johnson 1968 1992 Drama, Adventure and adventurers Drama, College graduates Drama, Risk taking Psychology Drama, Feature films, Biographical films, Video recordings for the hearing impaired, Action and adventure films",Paramount Pictures,2008,5,2009,424,VIDEODISC,Physical,Horizon
"The Darjeeling Limited [videorecording] / American Empirical Pictures ; Cine Mosaic ; Indian Paintbrush ; Scott Rudin Productions ; produced by Wes Anderson, Roman Coppola, Lydia Dean Pilcher, Scott Rudin ; written by Wes Anderson & Roman Coppola & Jason Schwartzman ; directed by Wes Anderson.",,"Brothers Drama, Voyages and travels Drama, India Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Comedy films",20th Century Fox,2008,12,2008,424,VIDEODISC,Physical,Horizon
Waitress [videorecording] / Fox Searchlight Pictures ; a Night and Day Pictures production ; produced by Michael Roiff ; written and directed by Adrienne Shelly.,,"Waitresses Drama, Pregnant women Drama, Pies Drama, Married people Drama, Adultery Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired, Comedy films, Fiction films",20th Century Fox,2007,8,2008,424,VIDEODISC,Physical,Horizon
Waitress [videorecording] / Fox Searchlight Pictures ; a Night and Day Pictures production ; produced by Michael Roiff ; written and directed by Adrienne Shelly.,,"Waitresses Drama, Pregnant women Drama, Pies Drama, Married people Drama, Adultery Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired, Comedy films, Fiction films",20th Century Fox,2007,7,2008,424,VIDEODISC,Physical,Horizon
The monk of Mokha / Dave Eggers.,"Eggers, Dave","Alkhanshali Mokhtar, Alkhanshali Mokhtar Travel Yemen Republic, Coffee industry California San Francisco, Businesspeople California San Francisco Biography, Yemeni Americans California San Francisco Biography, Coffee industry Yemen Republic",Alfred A. Knopf,2018,3,2018,424,BOOK,Physical,Horizon
"Gravity [videorecording] / Warner Bros. Pictures ; an Esperanto Filmoj/Heyday Films production ; written by Alfonso Cuar¢n & Jon s Cuar¢n ; produced by Alfonso Cuar¢n, David Heyman ; directed by Alfonso Cuar¢n.",,"Space shuttles Accidents Drama, Space vehicle accidents Drama, Astronauts Drama, Extravehicular activity Manned space flight Drama, Survival Drama, Wilderness survival Drama, Feature films, Fiction films, Science fiction films, Action and adventure films, Video recordings for the hearing impaired",Warner Bros.,2014,4,2014,423,VIDEODISC,Physical,Horizon
"Duplicity [videorecording] / Universal Pictures, Relativity Media ; produced by Jennifer Fox, Kerry Orent, Laura Bickford ; written and directed by Tony Gilroy.",,"Agents provocateurs Drama, New products Drama, Competition Drama, Patents Drama, Man woman relationships Drama, Spy films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films",Universal Studios,2009,6,2010,423,VIDEODISC,Physical,Horizon
"Frost/Nixon [videorecording] / Universal Pictures ; Imagine Entertainment ; Working Title Films ; in association with StudioCanal ; produced by Brian Grazer, Ron Howard, Tim Bevan, Eric Fellner ; screenplay by Peter Morgan ; directed by Ron Howard.",,"Nixon Richard M Richard Milhous 1913 1994 Drama, Frost David 1939 April 7 Drama, Watergate Affair 1972 1974 Drama, Presidents Interviews Drama, Abuse of administrative power Drama, Biographical films, Historical films, Video recordings for the hearing impaired, Feature films",Universal Studios,2009,3,2010,423,VIDEODISC,Physical,Horizon
"Iron Man [videorecording] / Paramount Pictures ; a Marvel Studios production in association with Fairview Entertainment ; produced by Avi Arad, Kevin Feige ; screenplay by Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway ; directed by Jon Favreau.",,"Iron Man Fictitious character Drama, Superhero films, Feature films, Fiction films, Video recordings for the hearing impaired, Action and adventure films",Paramount Pictures,2008,5,2009,423,VIDEODISC,Physical,Horizon
End game / David Baldacci.,"Baldacci, David","Robie Will Fiction, Government investigators Fiction, Missing persons Investigation Fiction, Colorado Fiction, Thrillers Fiction",Grand Central Publishing,2017,11,2017,423,BOOK,Physical,Horizon
"The inner life of animals : love, grief, and compassion : surprising observations of a hidden world / Peter Wohlleben ; foreword by Jeffrey Moussaieff Masson ; translation by Jane Billinghurst.","Wohlleben, Peter","Animal psychology, Animal intelligence, Animal behavior, Emotions in animals",Greystone Books,2017,1,2018,423,BOOK,Physical,Horizon
Heart berries : a memoir / Terese Marie Mailhot ; with an introduction by Sherman Alexie and an afterword by Joan Naviyuk Kane.,"Mailhot, Terese Marie","Mailhot Terese Marie Health, Post traumatic stress disorder Patients Northwest Pacific Biography, Manic depressive persons Northwest Pacific Biography, Indian women Northwest Pacific Biography, Autobiographies",Counterpoint,2018,4,2018,423,BOOK,Physical,Horizon
The power : a novel / Naomi Alderman.,"Alderman, Naomi","Women Fiction, Teenage girls Fiction, Great powers Fiction, Fantasy fiction","Little, Brown and Company",2017,6,2018,423,BOOK,Physical,Horizon
"WALL-E [videorecording] / Walt Disney Pictures presents a Pixar Animation Studios film ; produced by Jim Morris ; original story & story by Andrew Stanton, Pete Docter ; screenplay by Andrew Stanton, Jim Reardon ; directed by Andrew Stanton.",,"Robots Fiction, Refuse and refuse disposal Fiction, Friendship Fiction, Feature films, Childrens films, Animated films, Video recordings for the hearing impaired",Disney,2008,3,2009,422,VIDEODISC,Physical,Horizon
In the midst of winter : a novel / Isabel Allende ; translated by Nick Castor and Amanda Hopkinson.,"Allende, Isabel","College teachers Fiction, Women college teachers Fiction, Women illegal aliens Fiction, Human rights Fiction, New York N Y Fiction, Guatemala Fiction, Chile Fiction",Atria Books,2017,2,2018,422,BOOK,Physical,Horizon
So you want to talk about race / Ijeoma Oluo.,"Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States",Seal Press,2018,4,2018,422,BOOK,Physical,Horizon
12 rules for life : an antidote to chaos / Jordan B. Peterson ; foreword by Norman Doidge ; illustrations by Ethan Van Scriver.,"Peterson, Jordan B.",Conduct of life Philosophy,Random House,2018,5,2018,422,BOOK,Physical,Horizon
Pachinko / Min Jin Lee.,"Lee, Min Jin","Families Korea Fiction, Domestic fiction, Historical fiction",Grand Central Publishing,2017,5,2018,422,BOOK,Physical,Horizon
"Revolutionary Road [videorecording] / DreamWorks Pictures ; Paramount Vantage ; in association with BBC Films ; an Evamere Entertainment, BBC Films, Neal Street production ; produced by John N. Hart, Scott Rudin, Sam Mendes, Bobby Cohen ; screenplay by Justin Haythe ; directed by Sam Mendes.",,"Married people Drama, Clerks Drama, Housewives Drama, Connecticut Drama, Video recordings for the hearing impaired, Feature films, Fiction films",DreamWorks Pictures,2009,12,2009,421,VIDEODISC,Physical,Horizon
"No country for old men [videorecording] / Miramax Films ; Paramount Vantage ; produced by Scott Rudin, Ethan Coen, Joel Coen ; written for the screen and directed by Joel Coen & Ethan Coen.",,"Veterans Drama, Receiving stolen goods Drama, Criminal behavior Drama, Sheriffs Texas Drama, Texas Drama, Thrillers Motion pictures, Video recordings for the hearing impaired, Feature films",Miramax Home Entertainment,2008,4,2009,421,VIDEODISC,Physical,Horizon
"No reservations [videorecording] / Castle Rock Entertainment in assosciation with Village Roadshow Pictures ; produced by Kerry Heysen, Sergio Aguero ; screenplay by Carol Fuchs ; directed by Scott Hicks.",,"Cooks Drama, Workaholics Drama, Guardian and ward Drama, Man woman relationships Drama, Feature films, Romantic comedy films, Video recordings for the hearing impaired, Comedy films",Warner Bros.,2008,1,2009,421,VIDEODISC,Physical,Horizon
"Hidden figures / 20th Century Fox ; Fox 2000 Pictures ; a Chernin Entertainment/Levantine Films production ; produced by Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, Theodore Melfi ; screenplay by Allison Schroeder and Theodore Melfi ; directed by Theodore Melfi.",,"United States National Aeronautics and Space Administration Drama, Women mathematicians Drama, African American women Drama, African American mathematicians Drama, Space race Drama, Fiction films, Biographical films, Historical films, Feature films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",20th Century Fox,2017,5,2017,421,VIDEODISC,Physical,Horizon
The Economist,,,,,7,2017,421,MAGAZINE,Digital,Zinio
Six seasons : a new way with vegetables / Joshua McFadden with Martha Holmberg ; foreword by Barbara Damrosch and Eliot Coleman.,"McFadden, Joshua","Seasonal cooking, Cookbooks",Artisan,2017,7,2018,421,BOOK,Physical,Horizon
"Nebraska [videorecording] / Paramount Vantage ; in association with Filmnation Entertainment, Blue Lake Media Fund and Echo Lake Entertainment ; a Bona Fide production ; produced by Albert Berger & Ron Yerxa ; written by Bob Nelson ; directed by Alexander Payne.",,"Sweepstakes Drama, Fathers and sons Drama, Automobile travel Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities",Paramount Pictures,2014,8,2014,420,VIDEODISC,Physical,Horizon
"Blue Jasmine [videorecording] / Sony Pictures Classics ; in association with Gravier Productions ; a Perdido production ; produced by Letty Aronson, Stephen Tenenbaum, Edward Walson ; written and directed by Woody Allen.",,"Socialites Drama, Middle aged women Drama, Life change events Drama, San Francisco Calif Drama, Feature films, Comedy films, Fiction films, Video recordings for the hearing impaired",Sony Pictures Classics,2014,4,2014,420,VIDEODISC,Physical,Horizon
"Sunshine Cleaning [videorecording] / Overture Films ; a Big Beach/Back Lot Pictures production ; produced by Jeb Brody, Peter Saraf, Marc Turtletaub, Glenn Williamson ; written by Megan Holley ; directed by Christine Jeffs.",,"Crime scenes Cleaning Drama, Comedy films, Video recordings for the hearing impaired, Feature films, Fiction films",Anchor Bay Entertainment,2009,3,2010,420,VIDEODISC,Physical,Horizon
"The dark knight [videorecording] / Warner Bros. Pictures ; Legendary Pictures ; DC Comics ; a Syncopy production ; produced by Christopher Nolan, Charles Roven, Emma Thomas ; story by Christopher Nolan & David S. Goyer ; screenplay by Jonathan Nolan and Christopher Nolan ; directed by Christopher Nolan.",,"Batman Fictitious character Drama, Joker Fictitious character Drama, Criminal behavior Drama, Criminal investigation Drama, Thrillers Motion pictures, Action and adventure films, Fiction films, Fantasy films, Video recordings for the hearing impaired, Feature films",Warner Bros.,2008,2,2009,420,VIDEODISC,Physical,Horizon
"Promise me Dad : a year of hope, hardship, and purpose / Joe Biden.","Biden, Joseph R.","Biden Joseph R, Biden Beau 1969 2015, Vice Presidents United States Biography, Fathers and sons United States Biography, Cancer Patients United States Biography, Presidents United States Election 2016, United States Politics and government 2009 2017, Autobiographies",Flatiron Books,2017,1,2018,420,BOOK,Physical,Horizon
The power : a novel / Naomi Alderman.,"Alderman, Naomi","Women Fiction, Teenage girls Fiction, Great powers Fiction, Fantasy fiction","Little, Brown and Company",2017,8,2018,420,BOOK,Physical,Horizon
"Spotlight [videorecording] / directed by Tom McCarthy ; written by Josh Singer & Tom McCarthy ; produced by Michael Sugar, Steve Golin, Nicole Rocklin, Blye Pagon Faust ; Open Road Films ; in association with Participant Media and First Look Media ; an Anonymous Content production ; a Rocklin/Faust production.",,"Catholic Church Clergy Drama, Boston globe Drama, Investigative reporting Drama, Child sexual abuse Drama, Boston Mass Drama, Historical films, Fiction films, Feature films, Video recordings for the hearing impaired",Universal Studios,2016,5,2016,419,VIDEODISC,Physical,Horizon
"Slumdog millionaire [videorecording] / Fox Searchlight Pictures ; Warner Bros. Pictures ; Celador Films ; Film4 ; produced by Christian Colson ; screenplay by Simon Beaufoy ; co-director (India), Loveleen Tandan ; directed by Danny Boyle.",,"Orphans Drama, Television quiz shows Drama, Suspicion Drama, Police India Drama, Brothers India Drama, Bombay India Drama, Video recordings for the hearing impaired, Feature films, Fiction films",20th Century Fox,2009,6,2010,419,VIDEODISC,Physical,Horizon
"The golden compass [videorecording] / New Line Cinema in association with Ingenious Film Partners ; a Scholastic production ; a Depth of Field production ; produced by Deborah Forte, Bill Carraro ; screenplay and directed by Chris Weitz.",,"Witches Drama, Alliances Drama, Human experimentation in psychology Drama, Action and adventure films, Thrillers Motion pictures, Fantasy films, Video recordings for the hearing impaired, Feature films",New Line Cinema,2008,3,2009,419,VIDEODISC,Physical,Horizon
"Manchester by the Sea / Lionsgate ; Amazon Studios ; a Pearl Street Films, The Media Farm, K Period Media, The A/Middleton Project, B Story production ; produced by Kimberly Steward, Matt Damon, Chris Moore, Lauren Beck, Kevin J. Walsh ; written and directed by Kenneth Lonergan.",,"Uncles Drama, Teenage boys Drama, Fathers Drama, Feature films, Fiction films, Video recordings for the hearing impaired",Amazon Studios,2017,4,2017,419,VIDEODISC,Physical,Horizon
