title,creator,subjects,publisher,publicationyear,checkoutmonth,checkoutyear,checkouts,materialtype,usageclass,checkouttype
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,1,2018,673,MIXED,Physical,Horizon
"A higher loyalty : truth, lies, and leadership / James Comey.","Comey, James","Comey James B Jr 1960, United States Federal Bureau of Investigation Officials and employees Biography, United States Federal Bureau of Investigation, United States Politics and government 2009 2017, United States Politics and government 2001 2009, United States Politics and government 2017, Leadership, Autobiographies",Flatiron Books,2018,5,2018,671,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by T-Mobile].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers",T-Mobile,,6,2018,670,MIXED,Physical,Horizon
Fire and fury : inside the Trump White House / Michael Wolff.,"Wolff, Michael","Trump Donald 1946, Bannon Stephen K, Presidents United States, United States Politics and government 2009 2017, United States Politics and government 2017",Henry Holt and Company,2018,4,2018,669,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,3,2016,668,MIXED,Physical,Horizon
Manhattan Beach : a novel / Jennifer Egan.,"Egan, Jennifer","Young women New York State New York Fiction, World War 1939 1945 United States Fiction, Domestic fiction, Historical fiction, Thrillers Fiction",Scribner,2017,1,2018,668,BOOK,Physical,Horizon
Artemis : a novel / Andy Weir.,"Weir, Andy","Moon Fiction, Smuggling Fiction, Conspiracies Fiction, Science fiction",Crown Publishers,2017,1,2018,667,BOOK,Physical,Horizon
Origin : a novel / Dan Brown.,"Brown, Dan","Langdon Robert Fictitious character Fiction, Cryptographers Fiction, Spain Fiction, Thrillers Fiction, Action and adventure fiction, Detective and mystery fiction, Code and cipher stories",Doubleday,2017,11,2017,661,BOOK,Physical,Horizon
Transcription / Kate Atkinson.,"Atkinson, Kate","Great Britain MI5 Officials and employees Fiction, Women radio producers and directors Fiction, Nineteen fifties Fiction, Historical fiction, Thrillers Fiction, Spy fiction","Little, Brown and Company",2018,10,2018,658,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,10,2016,657,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,2,2016,656,MIXED,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,3,2010,654,VIDEODISC,Physical,Horizon
Wonder / R.J. Palacio.,"Palacio, R. J.","Abnormalities Human Juvenile fiction, Self acceptance Juvenile fiction, Middle schools Juvenile fiction, Schools Juvenile fiction",Alfred A. Knopf,2012,12,2017,654,BOOK,Physical,Horizon
Turtles all the way down / John Green.,"Green, John, 1977-","Teenage girls Juvenile fiction, Obsessive compulsive disorder Juvenile fiction, Anxiety disorders Juvenile fiction, Friendship Juvenile fiction, Missing persons Juvenile fiction, Young adult fiction","Dutton Books,",2017,1,2018,654,REGPRINT,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,1,2017,648,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,12,2016,645,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,3,2018,640,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,4,2017,637,MIXED,Physical,Horizon
"A higher loyalty : truth, lies, and leadership / James Comey.","Comey, James","Comey James B Jr 1960, United States Federal Bureau of Investigation Officials and employees Biography, United States Federal Bureau of Investigation, United States Politics and government 2009 2017, United States Politics and government 2001 2009, United States Politics and government 2017, Leadership, Autobiographies",Flatiron Books,2018,6,2018,637,BOOK,Physical,Horizon
"The president is missing : a novel / Bill Clinton, James Patterson.","Clinton, Bill","Missing persons Fiction, Presidents United States Fiction, Thrillers Fiction, Detective and mystery fiction, Political fiction","Little, Brown and Company",2018,8,2018,636,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,8,2016,635,MIXED,Physical,Horizon
Smitten kitchen every day : triumphant and unfussy new favorites / Deb Perelman.,"Perelman, Deb","Cooking, Cookbooks",Alfred A. Knopf,2017,11,2017,635,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,5,2018,635,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,4,2016,634,MIXED,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,3,2017,634,MIXED,Physical,Horizon
Never let me go / Kazuo Ishiguro.,"Ishiguro, Kazuo","Women Fiction, Cloning Fiction, Organ donors Fiction, Donation of organs tissues etc Fiction, England Fiction, Psychological fiction, Science fiction",Vintage International,2006,12,2017,633,BOOK,Physical,Horizon
In the midst of winter : a novel / Isabel Allende ; translated by Nick Castor and Amanda Hopkinson.,"Allende, Isabel","College teachers Fiction, Women college teachers Fiction, Women illegal aliens Fiction, Human rights Fiction, New York N Y Fiction, Guatemala Fiction, Chile Fiction",Atria Books,2017,12,2017,630,BOOK,Physical,Horizon
No time to spare : thinking about what matters / Ursula K. Le Guin ; [introduction by Karen Joy Fowler].,"Le Guin, Ursula K.","Aging, Old age, Literature, United States Civilization, Essays",Houghton Mifflin Harcourt,2017,12,2017,628,BOOK,Physical,Horizon
The Rooster Bar / John Grisham.,"Grisham, John","Student loans Fiction, Law schools Corrupt practices Fiction, Law schools Fiction, Legal fiction Literature, Thrillers Fiction",Doubleday,2017,1,2018,627,BOOK,Physical,Horizon
The witch elm / Tana French.,"French, Tana","Victims of crimes Fiction, Death Fiction, Family secrets Fiction, Thrillers Fiction, Detective and mystery fiction",Viking,2018,10,2018,627,BOOK,Physical,Horizon
SPL HotSpot : connecting Seattle / [distributed by Verizon Wireless].,,"Wireless LANs, Wireless Internet, Wireless communication systems, Routers Computer networks, Battery chargers","Verizon Wireless,",2014,9,2017,625,MIXED,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,11,2009,622,VIDEODISC,Physical,Horizon
"Doubt [videorecording] / Miramax Films ; produced by Scott Rudin, Mark Roybal ; written for the screen and directed by John Patrick Shanley.",,"Catholic Church Clergy Drama, School principals Drama, Nuns Drama, Malicious accusation Drama, Child abuse Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Detective and mystery films",Buena Vista Home Entertainment,2009,10,2009,622,VIDEODISC,Physical,Horizon
